workspace_id,workspace_name
ls_seidensticker_b050089c,Seidensticker
ls_euromaster_nl_1e512556,EuromasterNL
ls_euromaster_uk_a0466aa0,EuromasterUK
ls_vueling_d9787e76,Vueling
ls_golfclubs4cash_40b37a30,GC4C
ls_turn5_d73563ce,Turn5
lifesight_a8407028,Dogfooding
ls_factori_75e76e46,Factori
ls_ponos_513f8beb,PonosJP
ls_tbc_en_us_aaff3c9e,PonosUS
ls_tbc_en_nonus_5b5477e7,PonosNonUS
ls_tbc_tw_df8b188b,PonosTW
ls_tbc_kr_c24bc260,PonosKR
ls_nurture_life_e18a9741,NurtureLife
ls_goodr_sunglasses_7beec394,Goodr
ls_segugio_455d4b1a,Segugio
ls_much_better_adventures_3cc94608,MBA
ls_hedley_and_bennett_1dc2a769,Hedley
ls_orlebar_brown_71a86055,OrlebarBrown
ls_pupman_f877a37a,Pupman
ls_acme_demo_3f3ead3b,AcmeDemo
